(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
07/22/2016 20:46:50,1725320631.0,1120,69560,38621.71429,0,768,1008.0,0,1608.0,198995.4286,1400,307177.1429,100,5410.285714,55.44724831,329.2857143
07/22/2016 20:47:05,1733460699.0,1120,69560,38464.85714,0,768,1008.0,0,1608.0,199104.0,1400,307128.8571,100,5425.214286,55.41698858,334.3571429
07/22/2016 20:47:20,1741600768.0,1120,69560,38308.0,0,768,1008.0,0,1608.0,199212.5714,1400,307080.5714,100,5440.142857,55.38672885,339.4285714
07/22/2016 20:47:50,1749740837.0,1120,69560,38151.14286,0,768,1008.0,0,1608.0,199321.1429,1400,307032.2857,100,5455.071429,55.35646912,344.5
07/22/2016 20:47:05,1757880905.0,1120,69560,37994.28571,0,768,1008.0,0,1608.0,199429.7143,1400,306984.0,100,5470.0,55.32620939,349.5714286
07/22/2016 20:48:20,1766020974.0,1120,69560,37837.42857,0,768,1008.0,0,1608.0,199538.2857,1400,306935.7143,100,5484.928571,55.29594966,354.6428571
07/22/2016 20:48:35,1774161042.0,1120,69560,37680.57143,0,768,1008.0,0,1608.0,199646.8571,1400,306887.4286,100,5499.857143,55.26568993,359.7142857
07/22/2016 20:48:50,1782301111.0,1120,69560,37523.71429,0,768,1008.0,0,1608.0,199755.4286,1400,306839.1429,100,5514.785714,55.2354302,364.7857143
07/22/2016 20:48:05,1790441179.0,1120,69560,37366.85714,0,768,1008.0,0,1608.0,199864.0,1400,306790.8571,100,5529.714286,55.20517047,369.8571429
07/22/2016 20:49:20,1798581248.0,1120,69560,37210.0,0,768,1008.0,0,1608.0,199972.5714,1400,306742.5714,100,5544.642857,55.17491074,374.9285714
07/22/2016 20:49:35,1806721317.0,1120,69560,37053.14286,0,768,1008.0,0,1608.0,200081.1429,1400,306694.2857,100,5559.571429,55.14465101,380.0
07/22/2016 20:49:50,1814861385.0,1120,69560,36896.28571,0,768,1008.0,0,1608.0,200189.7143,1400,306646.0,100,5574.5,55.11439128,385.0714286
07/22/2016 20:49:05,1823001454.0,1120,69560,36739.42857,0,768,1008.0,0,1608.0,200298.2857,1400,306597.7143,100,5589.428571,55.08413155,390.1428571
07/22/2016 20:50:20,1831141522.0,1120,69560,36582.57143,0,768,1008.0,0,1608.0,200406.8571,1400,306549.4286,100,5604.357143,55.05387182,395.2142857
07/22/2016 20:50:35,1839281591.0,1120,69560,36425.71429,0,768,1008.0,0,1608.0,200515.4286,1400,306501.1429,100,5619.285714,55.02361209,400.2857143
07/22/2016 20:50:50,1847421659.0,1120,69560,36268.85714,0,768,1008.0,0,1608.0,200624.0,1400,306452.8571,100,5634.214286,54.99335237,405.3571429
07/22/2016 20:50:05,1855561728.0,1120,69560,36112.0,0,768,1008.0,0,1608.0,200732.5714,1400,306404.5714,100,5649.142857,54.96309264,410.4285714
07/22/2016 20:51:20,1863701797.0,1120,69560,35955.14286,0,768,1008.0,0,1608.0,200841.1429,1400,306356.2857,100,5664.071429,54.93283291,415.5
07/22/2016 20:51:35,1871841865.0,1120,69560,35798.28571,0,768,1008.0,0,1608.0,200949.7143,1400,306308.0,100,5679.0,54.90257318,420.5714286
07/22/2016 20:51:50,1879981934.0,1120,69560,35641.42857,0,768,1008.0,0,1608.0,201058.2857,1400,306259.7143,100,5693.928571,54.87231345,425.6428571
07/22/2016 20:51:05,1888122002.0,1120,69560,35484.57143,0,768,1008.0,0,1608.0,201166.8571,1400,306211.4286,100,5708.857143,54.84205372,430.7142857
07/22/2016 20:52:20,1896262071.0,1120,69560,35327.71429,0,768,1008.0,0,1608.0,201275.4286,1400,306163.1429,100,5723.785714,54.81179399,435.7857143
07/22/2016 20:52:35,1904402139.0,1120,69560,35170.85714,0,768,1008.0,0,1608.0,201384.0,1400,306114.8571,100,5738.714286,54.78153426,440.8571429
07/22/2016 20:52:50,1912542208.0,1120,69560,35014.0,0,768,1008.0,0,1608.0,201492.5714,1400,306066.5714,100,5753.642857,54.75127453,445.9285714
07/22/2016 20:52:05,1920682277.0,1120,69560,34857.14286,0,768,1008.0,0,1608.0,201601.1429,1400,306018.2857,100,5768.571429,54.7210148,451.0
07/22/2016 20:53:20,1928822345.0,1120,69560,34700.28571,0,768,1008.0,0,1608.0,201709.7143,1400,305970.0,100,5783.5,54.69075507,456.0714286
07/22/2016 20:53:50,1936962414.0,1120,69560,34543.42857,0,768,1008.0,0,1608.0,201818.2857,1400,305921.7143,100,5798.428571,54.66049534,461.1428571
07/22/2016 20:53:05,1945102482.0,1120,69560,34386.57143,0,768,1008.0,0,1608.0,201926.8571,1400,305873.4286,100,5813.357143,54.63023561,466.2142857
07/22/2016 20:53:20,1953242551.0,1120,69560,34229.71429,0,768,1008.0,0,1608.0,202035.4286,1400,305825.1429,100,5828.285714,54.59997588,471.2857143
07/22/2016 20:54:35,1961382619.0,1120,69560,34072.85714,0,768,1008.0,0,1608.0,202144.0,1400,305776.8571,100,5843.214286,54.56971615,476.3571429
07/22/2016 20:54:50,1969522688.0,1120,69560,33916.0,0,768,1008.0,0,1608.0,202252.5714,1400,305728.5714,100,5858.142857,54.53945642,481.4285714
07/22/2016 20:54:05,1977662757.0,1120,69560,33759.14286,0,768,1008.0,0,1608.0,202361.1429,1400,305680.2857,100,5873.071429,54.50919669,486.5
07/22/2016 20:54:20,1985802825.0,1120,69560,33602.28571,0,768,1008.0,0,1608.0,202469.7143,1400,305632.0,100,5888.0,54.47893696,491.5714286
07/22/2016 20:55:35,1993942894.0,1120,69560,33445.42857,0,768,1008.0,0,1608.0,202578.2857,1400,305583.7143,100,5902.928571,54.44867723,496.6428571
