(PDH-CSV 4.0) (,Memory Manager\Database Cache Memory (MB),Memory Manager\Stolen Server Memory (MB),Memory Manager\Free Memory (MB),Memory Manager\Total Server Memory (MB),Memory Manager\Connection Memory (MB),Memory Manager\Lock Memory (MB),Memory Manager\Optimizer Memory (MB),Memory Manager\SQL Cache Memory (MB),Plan Cache(_Total)\Cache Memory (MB),Memory Manager\Reserved Server Memory (MB),Memory Manager\Granted Workspace Memory (MB),Buffer Manager\Page life expectancy,Buffer Manager\Lazy writes/sec,Buffer Manager\Buffer cache hit ratio,Plan Cache(_Total)\Cache Hit Ratio
11/28/2016 21:42:00.419,650.1171875,269.9765625,103.8984375,1023.9921875,1.3046875,14.5625,0.9921875,1.65625,3.03125,0.0,0.0,71,0,100.0,86.1878453039
11/28/2016 21:42:10.415,650.1171875,270.203125,103.671875,1023.9921875,1.3046875,14.625,0.9921875,1.65625,3.03125,0.0,0.0,81,0,100.0,86.1980125138
11/28/2016 21:42:20.416,650.1171875,270.203125,103.671875,1023.9921875,1.3046875,14.625,0.9921875,1.65625,3.03125,0.0,0.0,91,0,100.0,86.2081647665
11/28/2016 21:42:30.420,651.5703125,271.3046875,101.1171875,1023.9921875,1.3125,14.625,0.9921875,1.65625,3.828125,0.0,0.0,102,0,99.9988893085,86.1386138614
11/28/2016 21:42:40.423,653.1328125,273.84375,97.015625,1023.9921875,1.3125,14.625,0.9921875,1.65625,4.0234375,0.0,0.0,112,0,100.0,86.1487724441
11/28/2016 21:42:50.428,716.1796875,273.546875,34.265625,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,0,23.187020178975587,99.9967043148,86.1690450055
11/28/2016 21:43:00.417,717.9296875,273.6875,32.375,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,6,12.914222603837603,99.998884299,86.1791590494
11/28/2016 21:43:10.424,717.9296875,273.1484375,32.9140625,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,9,5.29627588665244,99.9990534104,86.189258312
11/28/2016 21:43:20.423,718.265625,273.1015625,32.625,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,7,2.9003380380617383,99.998619135,86.1993428258
11/28/2016 21:43:30.425,718.359375,273.578125,32.0546875,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,12,3.5991924232075956,99.9990351698,86.2094126231
11/28/2016 21:43:40.427,716.9453125,273.046875,34.0,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,12,1.9997246775278059,99.9988832008,86.2194677361
11/28/2016 21:43:50.423,716.9296875,273.59375,33.46875,1023.9921875,1.328125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,12,1.2004665232193628,99.9984760323,86.2395340371
11/28/2016 21:44:00.427,716.421875,273.6015625,33.96875,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,11,1.4993426183196175,99.9989515823,86.2495452892
11/28/2016 21:44:10.427,717.109375,273.4375,33.4453125,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,8,2.6999468793318258,99.9982252992,86.2595419847
11/28/2016 21:44:20.415,716.796875,273.2421875,33.953125,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,9,0.40049748133160279,99.9984237937,86.2695241555
11/28/2016 21:44:30.428,718.046875,273.7890625,32.15625,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,10,5.592813867359558,99.9987089389,86.279491833
11/28/2016 21:44:40.423,717.375,273.5390625,33.078125,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,9,2.1011043701208076,99.9991833968,86.289445049
11/28/2016 21:44:50.422,717.203125,273.2734375,33.515625,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,10,4.000079384747675,99.9985063731,86.3093082217
11/28/2016 21:45:00.414,715.2578125,273.734375,35.0,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,8,4.2036485737978246,99.998527039,86.319218241
11/28/2016 21:45:10.416,718.8125,273.1875,31.9921875,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,9,1.399635787605028,99.9986502392,86.3291139241
11/28/2016 21:45:20.428,718.0,273.109375,32.8828125,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,8,3.2962471433089635,99.9985340514,86.3389953018
11/28/2016 21:45:30.414,718.2734375,273.140625,32.578125,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,9,0.10013388147934323,99.9982226751,86.3488624052
11/28/2016 21:45:40.427,719.0546875,272.9453125,31.9921875,1023.9921875,1.3125,14.65625,0.9921875,1.65625,4.0234375,0.0,0.0,10,3.6952062443847558,99.9984543459,86.3587152652
11/28/2016 21:45:50.421,717.4765625,273.71875,32.796875,1023.9921875,1.3359375,14.65625,0.9921875,1.65625,4.28125,0.0,0.0,9,0.20012617732729271,99.9990544548,86.3161685272
11/28/2016 21:46:00.425,717.09375,273.734375,33.1640625,1023.9921875,1.3359375,14.65625,0.9921875,1.65625,4.28125,0.0,0.0,12,1.1995364035170601,99.9981821348,86.3260165527
11/28/2016 21:46:10.418,717.0859375,273.796875,33.109375,1023.9921875,1.3359375,14.65625,0.9921875,1.65625,4.28125,0.0,0.0,12,2.7017217788547749,99.9974343771,86.3358504135
11/28/2016 21:46:20.414,717.7578125,274.1328125,32.1015625,1023.9921875,1.3359375,14.65625,0.9921875,1.65625,4.28125,0.0,0.0,12,3.101401053021287,99.997922898,86.3456701401
11/28/2016 21:46:30.427,717.0078125,274.3515625,32.6328125,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,4.9934263945199548,99.9980876001,86.355475763
11/28/2016 21:46:40.416,716.4296875,273.90625,33.65625,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,0.40045800356519984,99.9987887848,86.3652673125
11/28/2016 21:46:50.425,717.375,274.2578125,32.359375,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,3.7964643601217052,99.9987568956,86.3848083124
11/28/2016 21:47:00.426,718.375,273.421875,32.1953125,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,4.5996165718916577,99.9991133809,86.3945578231
11/28/2016 21:47:10.427,717.9921875,274.0,32.0,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,1.7997187298419204,99.9987060879,86.404293381
